instancias,n,v,fruerza_bruta,backtracking,programacion_dinamica
1,1,50,0.000656,0.000611,0.003774
2,2,50,0.001171,0.001079,0.009181
3,3,50,0.001912,0.002029,0.018834
4,4,50,0.003778,0.003101,0.044755
5,5,50,0.007341,0.005405,0.060017
6,6,50,0.015935,0.008253,0.153184
7,7,50,0.036559,0.020662,0.270166
8,8,50,0.059354,0.014244,0.365278
9,9,50,0.12238,0.025906,0.33846
10,10,50,0.30553,0.048282,1.41493
11,11,50,0.555238,0.025803,2.36575
12,12,50,1.12734,0.044471,1.79981
13,13,50,2.40076,0.054381,4.79435
14,14,50,4.42772,0.149179,2.92668
15,15,50,9.66717,0.110763,2.41083
16,16,50,19.5227,0.102709,16.7616
17,17,50,45.249,0.299596,5.6407
18,18,50,82.0761,0.097333,12.2866
19,19,50,168.583,0.388283,6.54822
20,20,50,337.097,0.270583,7.94273
