instancias,n,v,backtracking,programacion_dinamica
1,1,100,0.000624,0.005464
2,2,100,0.001054,0.012143
3,3,100,0.002013,0.019049
4,4,100,0.002049,0.02817
5,5,100,0.011051,0.100219
6,6,100,0.017259,0.139505
7,7,100,0.006162,0.064202
8,8,100,0.015723,0.146012
9,9,100,0.017809,0.126647
10,10,100,0.043476,0.190838
11,11,100,0.052791,0.322784
12,12,100,0.021061,0.180281
13,13,100,0.110352,0.604151
14,14,100,0.139035,0.461693
15,15,100,0.136662,0.485196
16,16,100,0.064192,0.370923
17,17,100,0.239604,2.04314
18,18,100,0.112241,2.18355
19,19,100,0.189072,0.807902
20,20,100,0.698496,2.42122
21,21,100,0.132147,2.95505
22,22,100,0.031273,1.82299
23,23,100,0.558101,2.18559
24,24,100,0.143707,4.00631
25,25,100,0.667525,5.13479
26,26,100,0.391659,3.15103
27,27,100,0.540413,2.78848
28,28,100,0.034851,5.17492
29,29,100,0.263843,5.46344
30,30,100,0.339497,19.3016
31,31,100,0.036279,3.44617
32,32,100,2.1053,13.9154
33,33,100,0.406494,5.04016
34,34,100,0.671585,13.7324
35,35,100,0.045047,8.33937
36,36,100,0.467848,16.95
37,37,100,0.92147,9.85613
38,38,100,0.556139,11.3179
39,39,100,0.056999,57.5261
40,40,100,0.565654,51.6459
41,41,100,0.604306,27.6423
42,42,100,0.734491,34.0274
43,43,100,0.823932,44.675
44,44,100,0.079783,48.4301
45,45,100,0.765268,161.396
46,46,100,3.73624,57.1543
47,47,100,5.65591,86.0586
48,48,100,0.804919,144.817
49,49,100,0.813393,36.8543
50,50,100,5.99042,80.1508
